text,cleaned_text,category
"Billing Invoice for consulting work. Total amount due: $7,013. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 9296 - Payment Due. Please remit 8,191 by 2026-07-15. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $5,703. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $8,512 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 7810. Total paid: $7,422. Thank you for your business. Transaction processed on 2026-07-15. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $13,436. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 7507. Total paid: $3,994. Thank you for your business. Transaction processed on 2026-07-15. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 5331. Balance due: $10,511. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 8572 - Payment Due. Please remit 2,606 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $1,110 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 2321 - Payment Due. Please remit 10,218 by 2026-07-15. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $2,890. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 2440. Total paid: $2,208. Thank you for your business. Transaction processed on 2026-08-10. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $4,698 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 5822. Balance due: $4,676. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $14,461 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $2,537. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $5,304 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 1213 - Payment Due. Please remit 8,457 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 4840. Total paid: $6,396. Thank you for your business. Transaction processed on 2026-06-01. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $11,552 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 3222. Balance due: $8,037. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 1852. Balance due: $10,416. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 4998. Balance due: $9,791. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 3958. Balance due: $13,854. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 5775. Total paid: $3,618. Thank you for your business. Transaction processed on 2026-05-20. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 2410 - Payment Due. Please remit 4,529 by 2026-05-20. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $10,244 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 7018. Balance due: $10,507. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 2807. Balance due: $10,724. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 7419. Balance due: $12,648. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 8334. Balance due: $8,554. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $2,016. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $14,991 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 1100 - Payment Due. Please remit 8,350 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 5726. Balance due: $1,780. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 7242. Balance due: $10,549. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $3,318 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 6545. Balance due: $13,318. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 1729 - Payment Due. Please remit 7,401 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 1568 - Payment Due. Please remit 10,335 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 3075 - Payment Due. Please remit 6,316 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $10,137. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 8511. Balance due: $2,706. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $8,335 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 8493. Balance due: $14,577. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 1685. Balance due: $8,554. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 1630 - Payment Due. Please remit 14,350 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 3592. Total paid: $4,252. Thank you for your business. Transaction processed on 2026-06-01. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 1575 - Payment Due. Please remit 2,676 by 2026-05-20. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 9199. Balance due: $9,668. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $14,364. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $6,340. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 9633. Balance due: $3,497. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 9172. Balance due: $2,572. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 8968 - Payment Due. Please remit 13,307 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $11,946. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 7772. Total paid: $13,492. Thank you for your business. Transaction processed on 2026-08-10. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 4831 - Payment Due. Please remit 12,573 by 2026-07-15. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $14,490 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $5,751. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 7993. Balance due: $1,153. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $3,283. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $2,457 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $673 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 7124. Total paid: $3,708. Thank you for your business. Transaction processed on 2026-06-01. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 6989 - Payment Due. Please remit 13,312 by 2026-07-15. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 8560 - Payment Due. Please remit 8,736 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 2262. Balance due: $5,739. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $1,665. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $3,755 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 3278. Total paid: $14,880. Thank you for your business. Transaction processed on 2026-07-15. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 1855. Balance due: $8,720. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Experienced Project Manager. Profile: Sarah Jenkins. Over 10 years leading agile development teams. Education: MBA from Harvard. Certifications: PMP, Scrum Master. resume curriculum vitae cv experience education skills software engineer languages developer github profile",experienced project manager profile sarah jenkins year leading agile development team education mba harvard certification pmp scrum master resume curriculum vitae experience education skill software engineer language developer github profile,Resume/CV
